127.0.0.1, 2018-01-10 19:30:25, GET, /helloworld/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000814
127.0.0.1, 2018-01-10 19:30:25, GET, /helloworld/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001594
127.0.0.1, 2018-01-10 19:30:25, GET, /helloworld/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000894
127.0.0.1, 2018-01-10 19:30:25, GET, /helloworld/static/js/jquery.js, HTTP/1.1, 200, 0.000886
127.0.0.1, 2018-01-10 19:30:25, GET, /helloworld/static/css/calendar.css, HTTP/1.1, 200, 0.000762
127.0.0.1, 2018-01-10 19:30:25, GET, /helloworld/static/js/calendar.js, HTTP/1.1, 200, 0.000557
127.0.0.1, 2018-01-10 19:30:25, GET, /helloworld/static/js/web2py.js, HTTP/1.1, 200, 0.001065
127.0.0.1, 2018-01-10 19:30:25, GET, /helloworld/static/js/share.js, HTTP/1.1, 200, 0.001989
127.0.0.1, 2018-01-10 19:30:25, GET, /helloworld/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.003999
127.0.0.1, 2018-01-10 19:30:25, GET, /helloworld/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002488
127.0.0.1, 2018-01-10 19:30:25, GET, /helloworld/static/images/twitter.png, HTTP/1.1, 200, 0.000895
127.0.0.1, 2018-01-10 19:30:25, GET, /helloworld/static/images/facebook.png, HTTP/1.1, 200, 0.000873
127.0.0.1, 2018-01-10 19:30:25, GET, /helloworld/static/images/gplus-32.png, HTTP/1.1, 200, 0.000580
127.0.0.1, 2018-01-10 19:30:25, GET, /helloworld/static/images/favicon.ico, HTTP/1.1, 200, 0.000642
127.0.0.1, 2018-01-10 19:31:20, GET, /admin/default/edit/helloworld/controllers/default.py, HTTP/1.1, 200, 0.048560
127.0.0.1, 2018-01-10 19:31:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000453
127.0.0.1, 2018-01-10 19:31:20, GET, /admin/default/edit/helloworld/controllers/default.py, HTTP/1.1, 200, 0.043335
127.0.0.1, 2018-01-10 19:31:20, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.030510
127.0.0.1, 2018-01-10 19:31:20, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.277189
127.0.0.1, 2018-01-10 19:31:20, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.313034
127.0.0.1, 2018-01-10 19:31:20, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.302523
127.0.0.1, 2018-01-10 19:31:21, GET, /helloworld/appadmin/hooks, HTTP/1.1, 200, 1.055774
127.0.0.1, 2018-01-10 19:31:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.192184
127.0.0.1, 2018-01-10 19:31:21, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.317364
127.0.0.1, 2018-01-10 19:31:34, GET, /admin/default/index, HTTP/1.1, 303, 0.004963
127.0.0.1, 2018-01-10 19:31:34, GET, /admin/default/site, HTTP/1.1, 200, 0.078137
127.0.0.1, 2018-01-10 19:31:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000897
127.0.0.1, 2018-01-10 19:31:47, GET, /helloworld/default/index, HTTP/1.1, 200, 0.087786
127.0.0.1, 2018-01-10 19:31:47, GET, /helloworld/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000923
127.0.0.1, 2018-01-10 19:31:47, GET, /helloworld/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003077
127.0.0.1, 2018-01-10 19:31:47, GET, /helloworld/static/js/jquery.js, HTTP/1.1, 200, 0.008303
127.0.0.1, 2018-01-10 19:31:47, GET, /helloworld/static/js/calendar.js, HTTP/1.1, 200, 0.003079
127.0.0.1, 2018-01-10 19:31:47, GET, /helloworld/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.009601
127.0.0.1, 2018-01-10 19:31:47, GET, /helloworld/static/css/calendar.css, HTTP/1.1, 200, 0.013366
127.0.0.1, 2018-01-10 19:31:47, GET, /helloworld/static/js/web2py.js, HTTP/1.1, 200, 0.010169
127.0.0.1, 2018-01-10 19:31:47, GET, /helloworld/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000862
127.0.0.1, 2018-01-10 19:31:47, GET, /helloworld/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001231
127.0.0.1, 2018-01-10 19:31:47, GET, /helloworld/static/js/share.js, HTTP/1.1, 200, 0.000918
127.0.0.1, 2018-01-10 19:31:47, GET, /helloworld/static/images/favicon.ico, HTTP/1.1, 200, 0.000943
127.0.0.1, 2018-01-10 19:31:47, GET, /helloworld/static/images/twitter.png, HTTP/1.1, 200, 0.000993
127.0.0.1, 2018-01-10 19:31:47, GET, /helloworld/static/images/gplus-32.png, HTTP/1.1, 200, 0.001371
127.0.0.1, 2018-01-10 19:31:47, GET, /helloworld/static/images/facebook.png, HTTP/1.1, 200, 0.000909
127.0.0.1, 2018-01-10 19:31:49, GET, /admin/default/site, HTTP/1.1, 200, 0.104845
127.0.0.1, 2018-01-10 19:31:49, GET, /favicon.ico, HTTP/1.1, 400, 0.001389
127.0.0.1, 2018-01-10 19:31:53, GET, /helloworld/default/index, HTTP/1.1, 200, 0.082569
127.0.0.1, 2018-01-10 19:31:57, GET, /helloworld/default/index, HTTP/1.1, 200, 0.089113
127.0.0.1, 2018-01-10 19:32:00, GET, /admin/default/peek/helloworld/controllers/default.py, HTTP/1.1, 200, 0.063743
127.0.0.1, 2018-01-10 19:32:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000455
127.0.0.1, 2018-01-10 19:32:05, GET, /admin/default/edit/helloworld/controllers/default.py, HTTP/1.1, 200, 0.049236
127.0.0.1, 2018-01-10 19:32:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000686
127.0.0.1, 2018-01-10 19:32:05, GET, /admin/default/edit/helloworld/controllers/default.py, HTTP/1.1, 200, 0.080127
127.0.0.1, 2018-01-10 19:32:05, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.104899
127.0.0.1, 2018-01-10 19:32:05, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.207766
127.0.0.1, 2018-01-10 19:32:05, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.224524
127.0.0.1, 2018-01-10 19:32:05, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.154687
127.0.0.1, 2018-01-10 19:32:05, GET, /helloworld/appadmin/hooks, HTTP/1.1, 200, 0.345237
127.0.0.1, 2018-01-10 19:32:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.036875
127.0.0.1, 2018-01-10 19:32:21, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.146794
127.0.0.1, 2018-01-10 19:33:05, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.037275
127.0.0.1, 2018-01-10 19:33:05, GET, /helloworld/appadmin/hooks, HTTP/1.1, 200, 0.202349
127.0.0.1, 2018-01-10 19:33:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.032350
127.0.0.1, 2018-01-10 19:33:21, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.144865
127.0.0.1, 2018-01-10 19:33:44, GET, /helloworld/appadmin, HTTP/1.1, 200, 0.117576
127.0.0.1, 2018-01-10 19:33:44, GET, /helloworld/appadmin/hooks, HTTP/1.1, 200, 0.172011
127.0.0.1, 2018-01-10 19:33:48, GET, /helloworld/appadmin/select/db, HTTP/1.1, 200, 0.163436
127.0.0.1, 2018-01-10 19:33:52, GET, /helloworld/appadmin, HTTP/1.1, 200, 0.114359
127.0.0.1, 2018-01-10 19:33:53, GET, /helloworld/appadmin/hooks, HTTP/1.1, 200, 0.172908
127.0.0.1, 2018-01-10 19:34:05, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.029929
127.0.0.1, 2018-01-10 19:34:05, GET, /helloworld/appadmin/hooks, HTTP/1.1, 200, 0.183635
127.0.0.1, 2018-01-10 19:34:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.038924
127.0.0.1, 2018-01-10 19:34:21, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.189124
127.0.0.1, 2018-01-10 19:35:05, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.048130
127.0.0.1, 2018-01-10 19:35:05, GET, /helloworld/appadmin/hooks, HTTP/1.1, 200, 0.155218
127.0.0.1, 2018-01-10 19:35:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.035061
127.0.0.1, 2018-01-10 19:35:21, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.145819
127.0.0.1, 2018-01-10 19:36:05, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.044476
127.0.0.1, 2018-01-10 19:36:05, GET, /helloworld/appadmin/hooks, HTTP/1.1, 200, 0.154642
127.0.0.1, 2018-01-10 19:36:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.042883
127.0.0.1, 2018-01-10 19:36:21, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.182606
127.0.0.1, 2018-01-10 19:37:05, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.039306
127.0.0.1, 2018-01-10 19:37:05, GET, /helloworld/appadmin/hooks, HTTP/1.1, 200, 0.155204
127.0.0.1, 2018-01-10 19:37:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.030176
127.0.0.1, 2018-01-10 19:37:21, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.143518
127.0.0.1, 2018-01-10 19:38:05, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.035771
127.0.0.1, 2018-01-10 19:38:05, GET, /helloworld/appadmin/hooks, HTTP/1.1, 200, 0.147801
127.0.0.1, 2018-01-10 19:38:21, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.037465
127.0.0.1, 2018-01-10 19:38:21, GET, /welcome/appadmin/hooks, HTTP/1.1, 200, 0.147991
127.0.0.1, 2018-01-10 19:39:05, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.029633
127.0.0.1, 2018-01-10 19:39:05, GET, /helloworld/appadmin/hooks, HTTP/1.1, 200, 0.194438
